Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Unit_Price,Quantity,Payment_Method,City,State,Store_Type,Salesperson_ID,Total_Sale
TRX-84364,2015-02-03,CUST-8962,Doces,Coca-Cola,97.82,18,Cartão de Débito,Belo Horizonte,CE,Minimercado,EMP-371,1760.7599999999998
TRX-89507,2020-07-07,CUST-9835,Doces,Arroz Branco,69.3,10,Pix,Recife,CE,Loja de Conveniência,EMP-223,693.0
TRX-39451,2015-02-11,CUST-1344,Carnes,Filé de Frango,23.78,8,Cartão de Crédito,Rio de Janeiro,SP,Minimercado,EMP-169,190.24
TRX-53309,2012-02-17,CUST-4899,Frios,Arroz Branco,49.06,18,Cartão de Débito,Brasília,DF,Loja de Conveniência,EMP-348,883.08
TRX-71993,2024-07-07,CUST-2545,Bebidas,Arroz Branco,43.67,14,Pix,Fortaleza,SP,Supermercado,EMP-162,611.38
TRX-54473,2018-02-08,CUST-4139,Snacks,Filé de Frango,45.41,14,Cartão de Débito,Porto Alegre,CE,Minimercado,EMP-995,635.74
TRX-68082,2013-09-04,CUST-1828,Grãos,Filé de Frango,83.77,3,Cartão de Débito,Belo Horizonte,BA,Loja de Conveniência,EMP-592,251.31
TRX-62565,2015-01-06,CUST-7209,Bebidas,Leite Integral,27.26,15,Dinheiro,Salvador,AM,Loja de Conveniência,EMP-258,408.90000000000003
TRX-48890,2015-04-02,CUST-9883,Bebidas,Arroz Branco,32.05,2,Boleto,Fortaleza,AM,Minimercado,EMP-158,64.1
TRX-20500,2020-03-03,CUST-2113,Grãos,Chocolate,24.29,4,Boleto,Curitiba,DF,Supermercado,EMP-734,97.16
TRX-64948,2013-11-19,CUST-9565,Frios,Queijo Mussarela,21.22,11,Cartão de Débito,Porto Alegre,BA,Minimercado,EMP-787,233.42
TRX-49321,2022-08-11,CUST-2188,Bebidas,Leite Integral,62.49,19,Cartão de Crédito,Rio de Janeiro,AM,Minimercado,EMP-618,1187.31
TRX-27361,2016-06-03,CUST-5002,Frios,Queijo Mussarela,16.62,18,Dinheiro,Brasília,AM,Supermercado,EMP-783,299.16
TRX-49240,2020-11-04,CUST-3200,Frios,Coca-Cola,89.08,18,Cartão de Débito,Porto Alegre,RS,Minimercado,EMP-834,1603.44
TRX-36685,2017-11-21,CUST-5325,Carnes,Leite Integral,25.86,2,Cartão de Crédito,Salvador,RS,Supermercado,EMP-103,51.72
TRX-27146,2017-11-09,CUST-3647,Grãos,Leite Integral,55.62,14,Boleto,São Paulo,RJ,Supermercado,EMP-807,778.68
TRX-81511,2014-01-27,CUST-7049,Carnes,Filé de Frango,15.66,5,Cartão de Crédito,Porto Alegre,PE,Supermercado,EMP-466,78.3
TRX-99399,2015-04-22,CUST-2684,Frios,Chocolate,56.43,14,Boleto,Belo Horizonte,PR,Minimercado,EMP-919,790.02
TRX-33206,2024-07-01,CUST-3938,Grãos,Queijo Mussarela,78.46,14,Cartão de Débito,Porto Alegre,MG,Supermercado,EMP-491,1098.4399999999998
TRX-71694,2012-04-07,CUST-8541,Frios,Queijo Mussarela,82.23,8,Cartão de Débito,São Paulo,PR,Loja de Conveniência,EMP-436,657.84
TRX-19099,2016-05-12,CUST-9346,Laticínios,Arroz Branco,98.13,18,Dinheiro,São Paulo,RJ,Hipermercado,EMP-282,1766.34
TRX-44795,2021-01-04,CUST-8119,Frios,Arroz Branco,78.86,14,Boleto,Manaus,RJ,Loja de Conveniência,EMP-690,1104.04
TRX-43386,2015-01-23,CUST-8144,Bebidas,Filé de Frango,92.63,18,Cartão de Débito,Recife,BA,Supermercado,EMP-780,1667.34
TRX-91678,2017-06-22,CUST-3041,Grãos,Queijo Mussarela,51.21,14,Dinheiro,Salvador,RS,Minimercado,EMP-296,716.94
TRX-97153,2018-07-22,CUST-3851,Carnes,Filé de Frango,30.79,18,Cartão de Crédito,Porto Alegre,RS,Minimercado,EMP-540,554.22
TRX-86019,2024-10-21,CUST-6279,Laticínios,Leite Integral,44.77,7,Boleto,Fortaleza,MG,Supermercado,EMP-390,313.39000000000004
TRX-97012,2020-11-20,CUST-6491,Bebidas,Chocolate,95.25,8,Dinheiro,Curitiba,PR,Minimercado,EMP-125,762.0
TRX-42092,2012-08-20,CUST-2193,Laticínios,Leite Integral,88.73,19,Cartão de Débito,Salvador,CE,Loja de Conveniência,EMP-349,1685.8700000000001
TRX-95990,2014-12-01,CUST-2746,Doces,Leite Integral,22.67,17,Pix,São Paulo,AM,Minimercado,EMP-968,385.39000000000004
TRX-69829,2013-03-26,CUST-8612,Grãos,Filé de Frango,98.8,20,Dinheiro,Fortaleza,DF,Loja de Conveniência,EMP-950,1976.0
TRX-68446,2020-03-24,CUST-8777,Laticínios,Queijo Mussarela,75.43,9,Boleto,Fortaleza,PR,Hipermercado,EMP-550,678.8700000000001
TRX-47450,2013-04-09,CUST-6502,Frios,Filé de Frango,8.98,5,Cartão de Débito,Salvador,MG,Minimercado,EMP-165,44.900000000000006
TRX-63424,2018-06-18,CUST-8633,Laticínios,Coca-Cola,21.48,14,Pix,Brasília,SP,Loja de Conveniência,EMP-588,300.72
TRX-56105,2012-05-25,CUST-7389,Doces,Chocolate,42.48,18,Boleto,Curitiba,CE,Minimercado,EMP-379,764.64
TRX-73654,2018-01-13,CUST-6507,Grãos,Arroz Branco,80.02,6,Pix,Belo Horizonte,DF,Supermercado,EMP-503,480.12
TRX-83975,2021-11-01,CUST-2375,Grãos,Leite Integral,14.43,15,Cartão de Débito,São Paulo,RS,Loja de Conveniência,EMP-435,216.45
TRX-69598,2015-06-11,CUST-7211,Frios,Chocolate,95.17,14,Dinheiro,Rio de Janeiro,CE,Supermercado,EMP-867,1332.38
TRX-16826,2020-06-08,CUST-2124,Doces,Arroz Branco,4.99,1,Cartão de Débito,Curitiba,SP,Minimercado,EMP-344,4.99
TRX-72070,2014-11-04,CUST-4571,Laticínios,Arroz Branco,26.37,12,Cartão de Débito,Brasília,DF,Supermercado,EMP-896,316.44
TRX-50768,2014-02-19,CUST-1420,Frios,Filé de Frango,68.06,13,Pix,Curitiba,RJ,Minimercado,EMP-204,884.78
TRX-49529,2023-11-20,CUST-2983,Doces,Filé de Frango,78.48,12,Boleto,Salvador,PE,Supermercado,EMP-618,941.76
TRX-54725,2022-01-28,CUST-7882,Doces,Leite Integral,11.45,12,Pix,Belo Horizonte,BA,Minimercado,EMP-851,137.39999999999998
TRX-95256,2020-05-20,CUST-9817,Doces,Leite Integral,47.02,19,Dinheiro,Recife,PR,Supermercado,EMP-385,893.3800000000001
TRX-41963,2019-08-19,CUST-7209,Frios,Coca-Cola,49.94,11,Cartão de Débito,Fortaleza,PR,Hipermercado,EMP-916,549.3399999999999
TRX-54608,2016-05-20,CUST-5526,Carnes,Coca-Cola,52.15,7,Cartão de Crédito,Curitiba,BA,Loja de Conveniência,EMP-668,365.05
TRX-41499,2024-12-16,CUST-9041,Laticínios,Chocolate,2.71,10,Cartão de Débito,Salvador,PR,Hipermercado,EMP-779,27.1
TRX-58368,2021-08-18,CUST-9698,Frios,Leite Integral,99.67,18,Dinheiro,Recife,CE,Hipermercado,EMP-413,1794.06
TRX-40217,2016-02-24,CUST-4155,Frios,Coca-Cola,74.55,6,Cartão de Débito,Curitiba,CE,Hipermercado,EMP-841,447.29999999999995
TRX-78765,2021-10-10,CUST-2647,Doces,Batata Chips,30.33,12,Cartão de Débito,Porto Alegre,SP,Minimercado,EMP-380,363.96
TRX-17146,2012-09-10,CUST-3068,Grãos,Chocolate,75.53,4,Cartão de Crédito,Brasília,RS,Loja de Conveniência,EMP-590,302.12
TRX-54657,2019-03-02,CUST-5136,Doces,Leite Integral,12.29,3,Pix,Fortaleza,RJ,Supermercado,EMP-255,36.87
TRX-83772,2014-05-03,CUST-5066,Bebidas,Filé de Frango,76.68,20,Boleto,Brasília,PR,Loja de Conveniência,EMP-561,1533.6000000000001
TRX-48974,2019-10-14,CUST-6003,Carnes,Filé de Frango,6.96,4,Cartão de Débito,Curitiba,RS,Supermercado,EMP-260,27.84
TRX-32782,2015-09-03,CUST-3564,Bebidas,Leite Integral,45.6,20,Pix,Porto Alegre,SP,Minimercado,EMP-395,912.0
TRX-47056,2023-12-28,CUST-8438,Bebidas,Arroz Branco,24.11,9,Boleto,Curitiba,BA,Supermercado,EMP-657,216.99
TRX-94886,2015-03-09,CUST-3330,Bebidas,Coca-Cola,17.43,10,Boleto,Brasília,RS,Loja de Conveniência,EMP-227,174.3
TRX-49857,2019-12-13,CUST-5460,Carnes,Filé de Frango,49.89,3,Boleto,São Paulo,BA,Hipermercado,EMP-718,149.67000000000002
TRX-13390,2016-02-08,CUST-1339,Doces,Arroz Branco,82.32,19,Cartão de Crédito,Belo Horizonte,CE,Loja de Conveniência,EMP-384,1564.08
TRX-86720,2014-07-21,CUST-9056,Bebidas,Leite Integral,35.45,11,Dinheiro,Rio de Janeiro,MG,Hipermercado,EMP-521,389.95000000000005
TRX-74942,2023-05-22,CUST-7561,Doces,Chocolate,55.46,15,Cartão de Crédito,Recife,RS,Hipermercado,EMP-218,831.9
TRX-62976,2024-09-27,CUST-1018,Grãos,Chocolate,54.72,14,Cartão de Crédito,Curitiba,AM,Hipermercado,EMP-737,766.0799999999999
TRX-75338,2024-11-15,CUST-1845,Snacks,Queijo Mussarela,55.37,10,Pix,Fortaleza,RJ,Supermercado,EMP-745,553.6999999999999
TRX-41365,2021-12-06,CUST-6091,Carnes,Coca-Cola,55.67,3,Cartão de Débito,Rio de Janeiro,CE,Supermercado,EMP-763,167.01
TRX-75323,2014-12-10,CUST-9337,Grãos,Queijo Mussarela,42.13,16,Pix,Curitiba,CE,Minimercado,EMP-492,674.08
TRX-88561,2015-09-24,CUST-3236,Doces,Coca-Cola,28.35,14,Dinheiro,Manaus,RS,Supermercado,EMP-389,396.90000000000003
TRX-49132,2023-10-19,CUST-9022,Doces,Batata Chips,45.21,16,Dinheiro,Recife,AM,Loja de Conveniência,EMP-566,723.36
TRX-34727,2017-12-08,CUST-7274,Snacks,Chocolate,77.78,2,Dinheiro,Fortaleza,BA,Loja de Conveniência,EMP-779,155.56
TRX-95461,2024-03-16,CUST-1606,Snacks,Filé de Frango,96.57,11,Cartão de Crédito,Fortaleza,RJ,Loja de Conveniência,EMP-115,1062.27
TRX-28894,2023-07-28,CUST-3529,Bebidas,Leite Integral,78.37,9,Dinheiro,Brasília,BA,Supermercado,EMP-972,705.33
TRX-98389,2017-09-13,CUST-6188,Grãos,Arroz Branco,88.86,16,Boleto,São Paulo,DF,Supermercado,EMP-340,1421.76
TRX-99705,2022-05-08,CUST-2480,Laticínios,Coca-Cola,76.28,4,Pix,Belo Horizonte,RS,Supermercado,EMP-147,305.12
TRX-17355,2017-05-12,CUST-7141,Laticínios,Batata Chips,25.18,14,Boleto,Belo Horizonte,MG,Minimercado,EMP-180,352.52
TRX-60140,2021-10-22,CUST-4945,Laticínios,Filé de Frango,15.17,15,Dinheiro,Fortaleza,RS,Supermercado,EMP-923,227.55
TRX-47700,2019-11-18,CUST-3588,Bebidas,Leite Integral,94.58,19,Dinheiro,Salvador,RS,Loja de Conveniência,EMP-965,1797.02
TRX-36111,2016-07-28,CUST-8916,Bebidas,Batata Chips,38.76,12,Boleto,Porto Alegre,RS,Supermercado,EMP-949,465.12
TRX-61879,2022-05-01,CUST-1803,Carnes,Arroz Branco,50.18,10,Cartão de Débito,Brasília,PE,Minimercado,EMP-751,501.8
TRX-91381,2015-05-22,CUST-3240,Grãos,Coca-Cola,90.44,2,Dinheiro,Fortaleza,SP,Hipermercado,EMP-849,180.88
TRX-21813,2014-05-11,CUST-7807,Snacks,Batata Chips,14.08,18,Dinheiro,Manaus,AM,Hipermercado,EMP-950,253.44
TRX-43681,2014-08-26,CUST-5835,Grãos,Chocolate,34.53,4,Pix,Rio de Janeiro,MG,Minimercado,EMP-980,138.12
TRX-98395,2022-07-28,CUST-6992,Bebidas,Chocolate,40.06,9,Boleto,Rio de Janeiro,CE,Hipermercado,EMP-788,360.54
TRX-98125,2023-05-19,CUST-7242,Doces,Arroz Branco,94.09,4,Cartão de Débito,Fortaleza,SP,Hipermercado,EMP-724,376.36
TRX-94889,2015-02-21,CUST-8606,Grãos,Queijo Mussarela,65.27,4,Cartão de Débito,São Paulo,SP,Hipermercado,EMP-604,261.08
TRX-22739,2013-04-18,CUST-3222,Laticínios,Leite Integral,37.73,18,Pix,Brasília,MG,Loja de Conveniência,EMP-770,679.14
TRX-74139,2013-10-14,CUST-5583,Bebidas,Arroz Branco,37.68,15,Pix,Curitiba,PE,Supermercado,EMP-802,565.2
TRX-81364,2017-11-12,CUST-1992,Laticínios,Queijo Mussarela,19.79,4,Pix,Rio de Janeiro,PR,Supermercado,EMP-151,79.16
TRX-53713,2024-04-05,CUST-4362,Bebidas,Chocolate,76.75,7,Boleto,Curitiba,PR,Hipermercado,EMP-892,537.25
TRX-88116,2014-01-09,CUST-3370,Snacks,Filé de Frango,25.81,6,Cartão de Crédito,São Paulo,MG,Supermercado,EMP-466,154.85999999999999
TRX-41186,2024-10-11,CUST-1258,Snacks,Queijo Mussarela,6.19,14,Boleto,Rio de Janeiro,RJ,Loja de Conveniência,EMP-559,86.66000000000001
TRX-57453,2024-09-19,CUST-2786,Laticínios,Filé de Frango,22.93,20,Cartão de Crédito,Manaus,RS,Loja de Conveniência,EMP-758,458.6
TRX-17972,2012-08-28,CUST-7580,Laticínios,Arroz Branco,11.69,15,Cartão de Crédito,Rio de Janeiro,PE,Minimercado,EMP-167,175.35
TRX-46046,2014-10-21,CUST-9984,Grãos,Queijo Mussarela,38.71,20,Boleto,Porto Alegre,CE,Loja de Conveniência,EMP-201,774.2
TRX-24996,2024-11-21,CUST-4522,Laticínios,Leite Integral,88.92,14,Dinheiro,Fortaleza,BA,Loja de Conveniência,EMP-847,1244.88
TRX-50966,2013-07-11,CUST-5176,Frios,Batata Chips,69.0,16,Cartão de Crédito,Rio de Janeiro,RJ,Supermercado,EMP-542,1104.0
TRX-58843,2013-03-18,CUST-1982,Carnes,Filé de Frango,56.61,4,Pix,Recife,BA,Supermercado,EMP-394,226.44
TRX-50953,2021-06-04,CUST-9313,Snacks,Batata Chips,66.02,8,Cartão de Crédito,Recife,AM,Hipermercado,EMP-217,528.16
TRX-46512,2024-10-08,CUST-8030,Doces,Filé de Frango,97.48,20,Boleto,Manaus,SP,Hipermercado,EMP-129,1949.6000000000001
TRX-45818,2014-12-25,CUST-6062,Frios,Queijo Mussarela,1.6,5,Boleto,Salvador,RJ,Minimercado,EMP-858,8.0
TRX-14018,2022-02-24,CUST-9691,Snacks,Leite Integral,42.56,11,Cartão de Débito,Recife,RS,Hipermercado,EMP-895,468.16
TRX-88148,2021-02-02,CUST-3549,Snacks,Chocolate,62.17,3,Dinheiro,Fortaleza,BA,Loja de Conveniência,EMP-721,186.51
TRX-64287,2019-05-07,CUST-9394,Bebidas,Queijo Mussarela,43.56,10,Boleto,Fortaleza,AM,Hipermercado,EMP-146,435.6
TRX-61807,2015-10-02,CUST-1125,Snacks,Queijo Mussarela,94.59,5,Dinheiro,Porto Alegre,PE,Supermercado,EMP-107,472.95000000000005
TRX-66446,2019-03-05,CUST-7229,Carnes,Arroz Branco,23.78,18,Dinheiro,Rio de Janeiro,BA,Supermercado,EMP-546,428.04
TRX-70260,2012-02-28,CUST-6129,Carnes,Leite Integral,57.77,14,Dinheiro,Rio de Janeiro,BA,Supermercado,EMP-432,808.7800000000001
TRX-91018,2014-08-27,CUST-6928,Bebidas,Leite Integral,84.6,8,Pix,Brasília,BA,Supermercado,EMP-505,676.8
TRX-54500,2016-04-11,CUST-3754,Bebidas,Filé de Frango,63.69,17,Boleto,Curitiba,PE,Hipermercado,EMP-844,1082.73
TRX-29358,2022-04-04,CUST-3399,Frios,Batata Chips,18.18,5,Cartão de Crédito,Belo Horizonte,CE,Loja de Conveniência,EMP-872,90.9
TRX-85952,2021-08-22,CUST-6295,Doces,Arroz Branco,32.3,15,Cartão de Crédito,Fortaleza,CE,Hipermercado,EMP-915,484.49999999999994
TRX-87518,2016-01-12,CUST-9312,Bebidas,Queijo Mussarela,46.71,2,Cartão de Crédito,Recife,RS,Supermercado,EMP-760,93.42
TRX-90610,2013-10-17,CUST-7299,Laticínios,Filé de Frango,55.88,2,Pix,Brasília,PR,Hipermercado,EMP-719,111.76
TRX-75715,2019-03-02,CUST-8381,Bebidas,Chocolate,90.01,11,Cartão de Crédito,Manaus,MG,Supermercado,EMP-353,990.11
TRX-67377,2023-08-17,CUST-9564,Carnes,Batata Chips,37.03,10,Pix,Salvador,PE,Supermercado,EMP-908,370.3
TRX-94843,2022-06-03,CUST-6401,Bebidas,Filé de Frango,68.16,10,Dinheiro,Brasília,MG,Hipermercado,EMP-183,681.5999999999999
TRX-96980,2021-03-12,CUST-6082,Grãos,Arroz Branco,66.55,5,Boleto,Rio de Janeiro,RS,Loja de Conveniência,EMP-758,332.75
TRX-53054,2024-03-22,CUST-9624,Bebidas,Arroz Branco,67.38,17,Dinheiro,São Paulo,PE,Hipermercado,EMP-284,1145.46
TRX-54791,2015-08-07,CUST-4711,Snacks,Batata Chips,8.64,4,Boleto,Manaus,AM,Supermercado,EMP-777,34.56
TRX-91006,2017-03-20,CUST-7172,Snacks,Batata Chips,18.9,20,Cartão de Débito,Fortaleza,SP,Loja de Conveniência,EMP-473,378.0
TRX-41133,2022-08-20,CUST-5668,Doces,Arroz Branco,78.6,8,Boleto,Curitiba,RS,Loja de Conveniência,EMP-955,628.8
TRX-58213,2015-11-19,CUST-8218,Laticínios,Chocolate,28.9,13,Boleto,Manaus,BA,Minimercado,EMP-936,375.7
TRX-89254,2015-03-28,CUST-5096,Bebidas,Arroz Branco,48.58,12,Boleto,Rio de Janeiro,AM,Supermercado,EMP-391,582.96
TRX-31012,2013-05-15,CUST-9410,Snacks,Chocolate,44.31,8,Pix,Recife,SP,Loja de Conveniência,EMP-154,354.48
TRX-75799,2018-06-08,CUST-7326,Bebidas,Queijo Mussarela,23.23,11,Cartão de Crédito,Recife,MG,Minimercado,EMP-139,255.53
TRX-71925,2016-12-27,CUST-3273,Doces,Arroz Branco,47.44,20,Cartão de Crédito,Rio de Janeiro,SP,Hipermercado,EMP-320,948.8
TRX-81932,2014-12-20,CUST-9647,Laticínios,Coca-Cola,77.84,8,Dinheiro,Rio de Janeiro,SP,Minimercado,EMP-529,622.72
TRX-91633,2022-08-03,CUST-2816,Doces,Leite Integral,60.08,1,Boleto,Brasília,PR,Minimercado,EMP-398,60.08
TRX-10205,2018-10-12,CUST-4941,Carnes,Leite Integral,19.54,3,Boleto,Recife,RJ,Supermercado,EMP-499,58.62
TRX-15706,2019-11-13,CUST-7116,Frios,Arroz Branco,2.61,3,Dinheiro,Curitiba,RJ,Hipermercado,EMP-236,7.83
TRX-56176,2012-09-11,CUST-3868,Doces,Chocolate,68.78,16,Cartão de Débito,Belo Horizonte,RJ,Loja de Conveniência,EMP-137,1100.48
TRX-36422,2016-01-26,CUST-4268,Bebidas,Queijo Mussarela,93.4,17,Pix,Manaus,CE,Hipermercado,EMP-137,1587.8000000000002
TRX-94790,2024-04-10,CUST-6848,Doces,Chocolate,5.73,11,Dinheiro,Rio de Janeiro,PE,Loja de Conveniência,EMP-509,63.03
TRX-67637,2023-07-11,CUST-4060,Laticínios,Arroz Branco,50.25,17,Dinheiro,Rio de Janeiro,BA,Supermercado,EMP-540,854.25
TRX-33652,2021-09-10,CUST-6262,Bebidas,Coca-Cola,33.46,10,Dinheiro,Fortaleza,DF,Loja de Conveniência,EMP-270,334.6
TRX-68183,2023-06-15,CUST-1693,Grãos,Chocolate,91.25,20,Pix,Porto Alegre,SP,Supermercado,EMP-787,1825.0
TRX-63242,2022-06-17,CUST-3621,Bebidas,Batata Chips,85.02,15,Cartão de Crédito,Belo Horizonte,RJ,Minimercado,EMP-897,1275.3
TRX-58015,2022-06-13,CUST-1530,Carnes,Batata Chips,68.23,12,Dinheiro,Fortaleza,RJ,Minimercado,EMP-642,818.76
TRX-62171,2017-06-21,CUST-5566,Snacks,Coca-Cola,3.57,6,Pix,Manaus,BA,Supermercado,EMP-368,21.419999999999998
TRX-44116,2024-12-15,CUST-4515,Carnes,Queijo Mussarela,69.7,16,Cartão de Débito,Rio de Janeiro,MG,Supermercado,EMP-562,1115.2
TRX-68341,2014-02-26,CUST-6236,Grãos,Queijo Mussarela,71.24,18,Boleto,Porto Alegre,RS,Minimercado,EMP-828,1282.32
TRX-93584,2023-03-26,CUST-6922,Carnes,Batata Chips,13.01,7,Cartão de Débito,Curitiba,CE,Supermercado,EMP-469,91.07
TRX-85009,2020-06-15,CUST-3126,Carnes,Coca-Cola,7.51,13,Pix,Manaus,BA,Loja de Conveniência,EMP-943,97.63
TRX-19666,2021-03-11,CUST-2215,Laticínios,Leite Integral,68.33,12,Cartão de Débito,Manaus,DF,Minimercado,EMP-886,819.96
TRX-66704,2014-09-28,CUST-1907,Doces,Coca-Cola,52.29,10,Cartão de Débito,Belo Horizonte,PE,Minimercado,EMP-454,522.9
TRX-47230,2020-02-09,CUST-4216,Grãos,Filé de Frango,28.17,10,Boleto,Manaus,RJ,Minimercado,EMP-706,281.70000000000005
TRX-30210,2021-03-22,CUST-6531,Doces,Filé de Frango,5.08,1,Cartão de Crédito,São Paulo,DF,Hipermercado,EMP-766,5.08
TRX-84991,2015-07-20,CUST-1496,Laticínios,Arroz Branco,55.01,10,Pix,Curitiba,BA,Hipermercado,EMP-564,550.1
TRX-17852,2013-03-15,CUST-7809,Laticínios,Leite Integral,21.2,20,Cartão de Débito,Recife,PE,Hipermercado,EMP-508,424.0
TRX-58567,2014-09-18,CUST-2739,Frios,Batata Chips,47.18,9,Pix,Curitiba,MG,Supermercado,EMP-151,424.62
TRX-60351,2016-10-14,CUST-5067,Doces,Batata Chips,81.53,19,Dinheiro,Curitiba,MG,Loja de Conveniência,EMP-627,1549.07
TRX-75373,2019-05-16,CUST-1379,Bebidas,Leite Integral,51.04,8,Cartão de Débito,Brasília,PE,Supermercado,EMP-151,408.32
TRX-74866,2016-10-27,CUST-8710,Frios,Filé de Frango,1.81,4,Pix,Belo Horizonte,RS,Hipermercado,EMP-882,7.24
TRX-57964,2018-01-13,CUST-1838,Carnes,Filé de Frango,20.27,18,Dinheiro,Rio de Janeiro,BA,Loja de Conveniência,EMP-882,364.86
TRX-46663,2020-10-22,CUST-2946,Snacks,Coca-Cola,40.0,11,Boleto,Recife,MG,Minimercado,EMP-716,440.0
TRX-62610,2020-09-02,CUST-1742,Bebidas,Batata Chips,71.65,16,Boleto,Fortaleza,MG,Minimercado,EMP-435,1146.4
TRX-51750,2021-03-13,CUST-5902,Carnes,Queijo Mussarela,51.22,17,Boleto,Fortaleza,DF,Hipermercado,EMP-586,870.74
TRX-58281,2012-06-22,CUST-2795,Laticínios,Filé de Frango,31.46,1,Boleto,Fortaleza,RS,Minimercado,EMP-838,31.46
TRX-86483,2012-08-06,CUST-9589,Grãos,Arroz Branco,62.35,13,Cartão de Débito,Curitiba,SP,Supermercado,EMP-295,810.5500000000001
TRX-67807,2012-06-14,CUST-3481,Laticínios,Arroz Branco,21.19,17,Boleto,Fortaleza,SP,Minimercado,EMP-631,360.23
TRX-83516,2015-06-22,CUST-8837,Carnes,Leite Integral,32.06,6,Pix,Manaus,PE,Hipermercado,EMP-792,192.36
TRX-99226,2024-11-26,CUST-5331,Carnes,Leite Integral,20.03,8,Dinheiro,Manaus,RS,Minimercado,EMP-404,160.24
TRX-47880,2024-12-07,CUST-9011,Frios,Leite Integral,35.53,9,Dinheiro,Rio de Janeiro,DF,Loja de Conveniência,EMP-504,319.77
TRX-29198,2017-05-02,CUST-5712,Grãos,Coca-Cola,35.29,15,Dinheiro,Fortaleza,PR,Minimercado,EMP-947,529.35
TRX-45537,2020-09-23,CUST-5450,Snacks,Coca-Cola,61.95,19,Cartão de Débito,Curitiba,SP,Minimercado,EMP-753,1177.05
TRX-16880,2015-02-14,CUST-6411,Grãos,Leite Integral,10.95,5,Cartão de Crédito,Manaus,MG,Loja de Conveniência,EMP-768,54.75
TRX-72580,2019-11-07,CUST-5706,Frios,Queijo Mussarela,64.94,3,Boleto,Curitiba,AM,Supermercado,EMP-279,194.82
TRX-33040,2018-01-27,CUST-7504,Doces,Leite Integral,19.44,10,Cartão de Crédito,São Paulo,RS,Supermercado,EMP-443,194.4
TRX-69552,2016-11-18,CUST-9590,Laticínios,Batata Chips,85.25,15,Dinheiro,Curitiba,RJ,Hipermercado,EMP-266,1278.75
TRX-70150,2023-11-09,CUST-4050,Bebidas,Arroz Branco,34.37,10,Boleto,Curitiba,MG,Loja de Conveniência,EMP-946,343.7
TRX-77538,2018-06-03,CUST-7567,Grãos,Coca-Cola,19.29,5,Pix,Recife,PR,Supermercado,EMP-367,96.44999999999999
TRX-40870,2018-08-25,CUST-5374,Frios,Queijo Mussarela,58.66,19,Cartão de Crédito,Porto Alegre,PE,Minimercado,EMP-163,1114.54
TRX-25495,2022-08-10,CUST-3616,Laticínios,Arroz Branco,50.75,10,Cartão de Crédito,Porto Alegre,PE,Minimercado,EMP-324,507.5
TRX-72676,2014-03-15,CUST-7121,Laticínios,Arroz Branco,55.37,16,Boleto,Curitiba,PR,Supermercado,EMP-638,885.92
TRX-79228,2019-12-12,CUST-2279,Carnes,Coca-Cola,7.11,18,Boleto,Curitiba,DF,Minimercado,EMP-268,127.98
TRX-78202,2017-08-04,CUST-4365,Grãos,Filé de Frango,49.39,17,Pix,São Paulo,CE,Minimercado,EMP-625,839.63
TRX-69873,2018-10-02,CUST-8575,Grãos,Chocolate,31.51,1,Pix,Porto Alegre,SP,Minimercado,EMP-692,31.51
